,Compound Score,Date,Negative Score,Neutral Score,Positive Score,Source,Text,Tweets Ago
100,0.6696,Fri Jan 19 22:53:48 +0000 2018,0.0,0.8,0.2,@CBS,RT @CBSTweet: A special thank you from @Browns guard @kzeit70 on behalf of himself and his dog Amber for voting him into #MVPCBS! Don't mis…,0
101,0.902,Fri Jan 19 12:06:04 +0000 2018,0.0,0.631,0.369,@CBS,"Cast your vote for your favorite commercial now, then tune in to see which spot is named champion! Watch Super Bowl… https://t.co/2dGlQvBQED",1
102,0.5697,Thu Jan 18 20:35:02 +0000 2018,0.0,0.83,0.17,@CBS,Baltimore @Ravens running back Alex Collins (@Budda03) is one of the finalists of MVP: Most Valuable Performer! Wat… https://t.co/7RV0vMyg2F,2
103,0.7326,Thu Jan 18 20:05:07 +0000 2018,0.0,0.781,0.219,@CBS,RT @CBSTweet: Let's go!!!! Thank you to the fans for voting in #BrandonWilliams from the @ravens! BrandonW_66 is ready to show off his sing…,3
104,0.0,Thu Jan 18 19:04:56 +0000 2018,0.0,1.0,0.0,@CBS,"#TBT to when @latelateshow's @JKCorden brought Carpool Karaoke to the #GRAMMYs with @JLo, @JohnLegend, @FaithHill a… https://t.co/MNqRh1rgIK",4
105,0.6689,Thu Jan 18 18:29:17 +0000 2018,0.0,0.793,0.207,@CBS,Find out if your top pick made it to the final round of MVP: Most Valuable Performer! Watch the finalists compete d… https://t.co/nhSJ1SDZDK,5
106,0.5574,Thu Jan 18 14:45:10 +0000 2018,0.104,0.631,0.266,@CBS,"Country stars @brothersosborne, @ericchurch &amp; @marenmorris will perform a special tribute to honor the victims of t… https://t.co/m0zbaY6AH0",6
107,-0.3595,Thu Jan 18 02:28:47 +0000 2018,0.172,0.828,0.0,@CBS,.@ZaneLowe and @AppleMusic's latest #UpNext artist @stefflondon stop by the @LateLateShow tonight! https://t.co/q8EGVM5Bky,7
108,0.5859,Wed Jan 17 23:59:46 +0000 2018,0.0,0.833,0.167,@CBS,"When these #SuperBowlCommercials face off, who will win - Man or Beast? Watch all the memorable spots and cast your… https://t.co/Qbu0Ah0toB",8
109,0.0,Wed Jan 17 19:54:17 +0000 2018,0.0,1.0,0.0,@CBS,"2018 GRAMMY® nominee @LadyGaga is never afraid to push boundaries.

Watch her perform live at The 60th Annual… https://t.co/TqqoTcVs2i",9
